pass2_index,assigned_agent,paper_id,paper_title,first_pass_classification,source_lane,paper_name,id,abstract,triage_label,lanes,lane_count,triage_labels_by_lane,mechanisms_by_lane,why_it_matters_by_lane,follow_up_by_lane,corpus_stages,authors,year,source_ids,primary_id,source_paper_id,categories,queries,discovery_methods,designations,primary_readers,metadata_verified_any,body_inspected_any,evidence_read_any,triage_disagreement,source_registry_paths,source_triage_paths
50,1,8651083539529506116,Coz: Finding Code that Counts with Causal Profiling,HIGH,B3,Coz: Finding Code that Counts with Causal Profiling,arxiv:1608.03676,"Improving performance is a central concern for software developers. To locate optimization opportunities, developers rely on software profilers. However, these profilers only report where programs spent their time: optimizing that code may have no impact on performance. Past profilers thus both waste developer time and make it difficult for them to uncover significant optimization opportunities. This paper introduces causal profiling. Unlike past profiling approaches, causal profiling indicates exactly where programmers should focus their optimization efforts, and quantifies their potential impact. Causal profiling works by running performance experiments during program execution. Each experiment calculates the impact of any potential optimization by virtually speeding up code: inserting pauses that slow down all other code running concurrently. The key insight is that this slowdown has the same relative effect as running that line faster, thus ""virtually"" speeding it up. We present Coz, a causal profiler, which we evaluate on a range of highly-tuned applications: Memcached, SQLite, and the PARSEC benchmark suite. Coz identifies previously unknown optimization opportunities that are both significant and targeted. Guided by Coz, we improve the performance of Memcached by 9%, SQLite by 25%, and accelerate six PARSEC applications by as much as 68%; in most cases, these optimizations involve modifying under 10 lines of code.",high,B3,1,B3=high,B3=Uses virtual speedups and causal profiling to estimate which code regions would actually improve end-to-end performance.,"B3=Separates time spent from time that causally controls outcome latency, improving optimization blame assignment.",B3=true,primary_assignment,,,arxiv:1608.03676,arxiv:1608.03676,8651083539529506116,,13-causal-profiling | 36-causal-profiler,,,B3,false,false,false,false,b3/assigned-evidence-index.jsonl | b3/assigned.json | b3/follow-up-manifest.jsonl | b3/inspection-evidence.jsonl | b3/raw-q13-causal-profiling.json | b3/raw-q36-causal-profiler.json | b3/read-evidence-manifest.jsonl | b3/registry.json,b3/triage.jsonl
55,1,7448285211095447456,Clipper: A Low-Latency Online Prediction Serving System,MEDIUM,B6,Clipper: A Low-Latency Online Prediction Serving System,arxiv:1612.03079,"Machine learning is being deployed in a growing number of applications which demand real-time, accurate, and robust predictions under heavy query load. However, most machine learning frameworks and systems only address model training and not deployment. In this paper, we introduce Clipper, a general-purpose low-latency prediction serving system. Interposing between end-user applications and a wide range of machine learning frameworks, Clipper introduces a modular architecture to simplify model deployment across frameworks and applications. Furthermore, by introducing caching, batching, and adaptive model selection techniques, Clipper reduces prediction latency and improves prediction throughput, accuracy, and robustness without modifying the underlying machine learning frameworks. We evaluate Clipper on four common machine learning benchmark datasets and demonstrate its ability to meet the latency, accuracy, and throughput demands of online serving applications. Finally, we compare Clipper to the TensorFlow Serving system and demonstrate that we are able to achieve comparable throughput and latency while enabling model composition and online learning to improve accuracy and render more robust predictions.",medium,B6,1,B6=medium,B6=The abstract describes request or token batching and a scheduling policy that trades queueing delay against accelerator efficiency and tail latency.,B6=It provides evidence for attributing latency to queueing and batch formation rather than to model compute alone.,B6=true,primary_assignment,"Daniel Crankshaw, Xin Wang, Giulio Zhou, Michael J. Franklin, Joseph E. Gonzalez, Ion Stoica",,arxiv:1612.03079,arxiv:1612.03079,7448285211095447456,cs.DC | cs.LG,q34,firecrawl research search-papers,true,B6,false,true,false,false,b6/assigned-evidence-index.jsonl | b6/assigned-paper-manifest.jsonl | b6/assigned-registry.jsonl | b6/canonical-registry.json | b6/canonical-registry.jsonl | b6/expansion/expansion-registry.jsonl | b6/follow-up-manifest.jsonl | b6/inspection-evidence.jsonl | b6/inspection-manifest.jsonl | b6/raw-retrieval/q34-foundational-clipper.json | b6/read-evidence-manifest.jsonl,b6/abstract-triage-inherited-89.jsonl | b6/abstract-triage.jsonl | b6/assigned-paper-manifest.jsonl
60,1,2745330246428296331,"A Passivity-Based Design for Stability and Robustness in Event-Triggered Networked Control Systems with Communication Delays, Signal Quantizations and Packet Dropouts",HIGH,B5,"A Passivity-Based Design for Stability and Robustness in Event-Triggered Networked Control Systems with Communication Delays, Signal Quantizations and Packet Dropouts",arxiv:1704.00592,"In this report, we introduce a comprehensive design framework for Event-Triggered Networked Control Systems based on the passivity-based concept of Input Feed-Forward Output Feedback Passive (IF-OFP) systems. Our approach is comprehensive in the sense that we show finite-gain L₂-stability and robustness for the networked control system by considering the effects of time-varying or constant network induced delays, signal quantizations, and data losses in communication links from the plant to controller and the controller to plant. Our design is based on the need for a more efficient utilization of band-limited shared communication networks which is a necessity for the design of Large-Scale Cyber-Physical systems. To achieve this, we introduce simple triggering conditions that do not require the exact knowledge of the sub-systems and are located on both sides of the communication network: the plant's output and the controller's output. This specifically leads to a great decrease in the communication rate between the controller and plant. Additionally, we show lower-bounds on inter-event time intervals for the triggering conditions and show the design's robustness against external noise and disturbance. We illustrate the relationship amongst stability, robustness and passivity levels for the plant and controller. We analyze our design's robustness against packet dropouts and loss of communication. Our results are design-oriented in the sense that based on our proposed framework, the designer can easily observe the trade-offs amongst different components of the networked control system, time-varying delays, effects of signal quantizations and triggering conditions, stability, robustness and performance of networked control system and make design decisions accordingly.",high,B5,1,B5=high,"B5=The abstract addresses packet loss, delay, jitter, disorder, or reordering and its effect on networked sensing, estimation, or control.","B5=It supplies a transferable diagnostic or design hypothesis for detecting transport-induced loss, duplication, reordering, staleness, timing error, or observation/action mismatch in the Reflex episode loop.",B5=true,primary_assignment,"Arash Rahnama, Meng Xia, Panos J. Antsaklis",,arxiv:1704.00592,arxiv:1704.00592,2745330246428296331,,q29-adj-control | q37-found-networked,,,B5,false,false,false,false,b4/raw-retrieval/q23-networked-control-systems.json | b5/assigned-paper-manifest.json | b5/assigned-paper-manifest.jsonl | b5/canonical-registry.jsonl | b5/evidence-digest.jsonl | b5/raw-retrieval/q29-adj-control.json | b5/raw-retrieval/q37-found-networked.json,b5/abstract-triage.jsonl
65,1,7603077864497783418,A packet-based dual-rate PID control strategy for a slow-rate sensing Networked Control System,HIGH,B5,A packet-based dual-rate PID control strategy for a slow-rate sensing Networked Control System,arxiv:1707.07467,"This paper introduces a packet-based dual-rate control strategy to face time-varying network-induced delays, packet dropouts and packet disorder in a Networked Control System. Slow-rate sensing enables to achieve energy saving by reducing network load. In addition, choosing a slower sensing period than the longest round-trip time delay can avoid packet disorder. On the other hand, a slow-rate sensing usually degrades control performance in a conventional control framework. Therefore, including dual-rate control techniques can be useful to maintain the desired performance, since the controller is able to generate a fast-rate control signal from a slow-rate sensing signal. A dual-rate PID controller is used, which can be split into two parts: a slow-rate PI controller is located at the remote side (with no permanent communication to the plant) and a fast-rate PD controller, at the local side (close to the plant, sensor, and inside the actuator, which can offer a low computation power). In addition, at the remote side, where a powerful computation device is located, a prediction stage is included in order to generate the packet of future, estimated slow-rate control actions to be sent to the local side. At this side, these actions are converted to fast-rate ones and used when a packet does not arrive due to the network-induced delay or due to occurring dropouts. The control proposal is able to reach the nominal (no-dropout, no-delay) performance despite the existence of time-varying delays and packet dropouts. Via real-time control for a Cartesian robot, results clearly reveal the superiority of the control approach compared to a previous authors' proposal, where the time-varying delays are faced by means of a gain scheduling control strategy.",high,B5,1,B5=high,"B5=The abstract addresses packet loss, delay, jitter, disorder, or reordering and its effect on networked sensing, estimation, or control.","B5=It supplies a transferable diagnostic or design hypothesis for detecting transport-induced loss, duplication, reordering, staleness, timing error, or observation/action mismatch in the Reflex episode loop.",B5=true,primary_assignment,"A. Cuenca, J. Alcaina, J. Salt, V. Casanova, R. Pizá",,arxiv:1707.07467,arxiv:1707.07467,7603077864497783418,,q01-direct-robot,,,B5,false,false,false,false,b4/raw-retrieval/q23-networked-control-systems.json | b5/assigned-paper-manifest.json | b5/assigned-paper-manifest.jsonl | b5/canonical-registry.jsonl | b5/evidence-digest.jsonl | b5/raw-retrieval/q01-direct-robot.json,b5/abstract-triage.jsonl
70,1,arxiv:1710.00649,Analysis of Feedback Error in Automatic Repeat reQuest,HIGH,B5,Analysis of Feedback Error in Automatic Repeat reQuest,arxiv:1710.00649,,high,B5,1,B5=high,"B5=The related-paper result extends an already-covered B5 transport family and is retained as a strong seed or neighboring mechanism for packet correctness, freshness, ordering, reliability, or timing.",B5=It tests whether the B5 synthesis mechanism map is stable beyond the multi-formulation search results and supplies a transferable hypothesis for the Reflex episode loop.,B5=true,expansion_round_1,"Saeed R. Khosravirad, Harish Viswanathan",,,arxiv:1710.00649,,,,,,B5,false,false,false,false,b5/evidence-digest.jsonl,b5/expansion/expansion-triage.jsonl
75,1,7930270148500945031,Inforence: Effective Fault Localization Based on Information-Theoretic Analysis and Statistical Causal Inference,MEDIUM,B3,Inforence: Effective Fault Localization Based on Information-Theoretic Analysis and Statistical Causal Inference,arxiv:1712.03361,"In this paper, a novel approach, Inforence, is proposed to isolate the suspicious codes that likely contain faults. Inforence employs a feature selection method, based on mutual information, to identify those bug-related statements that may cause the program to fail. Because the majority of a program faults may be revealed as undesired joint effect of the program statements on each other and on program termination state, unlike the state-of-the-art methods, Inforence tries to identify and select groups of interdependent statements which altogether may affect the program failure. The interdependence amongst the statements is measured according to their mutual effect on each other and on the program termination state. To provide the context of failure, the selected bug-related statements are chained to each other, considering the program static structure. Eventually, the resultant cause-effect chains are ranked according to their combined causal effect on program failure. To validate Inforence, the results of our experiments with seven sets of programs include Siemens suite, gzip, grep, sed, space, make and bash are presented. The experimental results are then compared with those provided by different fault localization techniques for the both single-fault and multi-fault programs. The experimental results prove the outperformance of the proposed method compared to the state-of-the-art techniques.",medium,B3,1,B3=medium,B3=Uses information-theoretic feature groups and statistical causal inference to rank cause-effect chains leading to program failure.,"B3=Transferable multi-fault blame assignment at code or predicate level, although not distributed-pipeline focused.",B3=false,primary_assignment,,,arxiv:1712.03361,arxiv:1712.03361,7930270148500945031,,24-fault-injection,,,B3,false,false,false,false,b3/assigned-evidence-index.jsonl | b3/assigned.json | b3/expansion-registry.json | b3/raw-q24-fault-injection.json | b3/registry.json,b3/triage.jsonl
80,1,arxiv:1801.05919,Rate-Optimal Streaming Codes for Channels with Burst and Isolated Erasures,MEDIUM,B5,Rate-Optimal Streaming Codes for Channels with Burst and Isolated Erasures,arxiv:1801.05919,,medium,B5,1,B5=medium,"B5=The related-paper result extends an already-covered B5 transport family and is retained as a strong seed or neighboring mechanism for packet correctness, freshness, ordering, reliability, or timing.",B5=It tests whether the B5 synthesis mechanism map is stable beyond the multi-formulation search results and supplies a transferable hypothesis for the Reflex episode loop.,B5=true,expansion_round_1,"M. Nikhil Krishnan, P. Vijay Kumar",,,arxiv:1801.05919,,,,,,B5,false,false,false,false,b5/evidence-digest.jsonl,b5/expansion/expansion-triage.jsonl
85,1,1142761275872084005,iReplayer: In-situ and Identical Record-and-Replay for Multithreaded Applications,MEDIUM,B8,iReplayer: In-situ and Identical Record-and-Replay for Multithreaded Applications,arxiv:1804.01226,"Reproducing executions of multithreaded programs is very challenging due to many intrinsic and external non-deterministic factors. Existing RnR systems achieve significant progress in terms of performance overhead, but none targets the in-situ setting, in which replay occurs within the same process as the recording process. Also, most existing work cannot achieve identical replay, which may prevent the reproduction of some errors. This paper presents iReplayer, which aims to identically replay multithreaded programs in the original process (under the ""in-situ"" setting). The novel in-situ and identical replay of iReplayer makes it more likely to reproduce errors, and allows it to directly employ debugging mechanisms (e.g. watchpoints) to aid failure diagnosis. Currently, iReplayer only incurs 3% performance overhead on average, which allows it to be always enabled in the production environment. iReplayer enables a range of possibilities, and this paper presents three examples: two automatic tools for detecting buffer overflows and use-after-free bugs, and one interactive debugging tool that is integrated with GDB.",medium,B8,1,B8=medium,"B8=The paper records execution inputs, events, or checkpoints and replays them to reproduce behavior under controlled conditions.","B8=It provides a repeatable way to provoke, observe, and compare failures instead of relying on rare field reproduction.",B8=false,primary_assignment,,2018,arxiv:1804.01226,arxiv:1804.01226,1142761275872084005,,foundational-01,firecrawl research search-papers,foundational,B8,true,true,false,false,b3/raw-q25-replay.json | b3/registry.json | b8/assigned-paper-manifest.json | b8/canonical-registry.json | b8/expansion-canonical-registry.json | b8/expansion-registry.json | b8/inspection-manifest.json | b8/raw/foundational-01.json,b8/abstract-triage.jsonl | b8/expansion-triage.jsonl
90,1,6405431012796306810,Efficient and Deterministic Record & Replay for Actor Languages,MEDIUM,B8,Efficient and Deterministic Record & Replay for Actor Languages,arxiv:1805.06267,"With the ubiquity of parallel commodity hardware, developers turn to high-level concurrency models such as the actor model to lower the complexity of concurrent software. However, debugging concurrent software is hard, especially for concurrency models with a limited set of supporting tools. Such tools often deal only with the underlying threads and locks, which is at the wrong abstraction level and may even introduce additional complexity. To improve on this situation, we present a low-overhead record & replay approach for actor languages. It allows one to debug concurrency issues deterministically based on a previously recorded trace. Our evaluation shows that the average run-time overhead for tracing on benchmarks from the Savina suite is 10% (min. 0%, max. 20%). For Acme-Air, a modern web application, we see a maximum increase of 1% in latency for HTTP requests and about 1.4 MB/s of trace data. These results are a first step towards deterministic replay debugging of actor systems in production.",medium,B8,1,B8=medium,B8=The paper uses runtime traces and correlated message or compute events to expose execution paths and timing behavior.,B8=It informs a deterministic episode artifact that can be rerun to separate system faults from stochastic variation.,B8=true,primary_assignment,,2018,arxiv:1805.06267,arxiv:1805.06267,6405431012796306810,,adjacent-01 | foundational-01,firecrawl research search-papers,foundational,B8,true,true,true,false,b3/expansion-registry.json | b3/raw-q25-replay.json | b3/registry.json | b8/assigned-paper-manifest.json | b8/canonical-registry.json | b8/expansion-canonical-registry.json | b8/expansion-registry.json | b8/follow-up-manifest.json | b8/inspection-manifest.json | b8/raw/adjacent-01.json | b8/raw/foundational-01.json | b8/targeted-read-manifest.json,b8/abstract-triage.jsonl | b8/expansion-triage.jsonl
95,1,arxiv:1806.05776,Tiny Codes for Guaranteeable Delay,HIGH,B5,Tiny Codes for Guaranteeable Delay,arxiv:1806.05776,,high,B5,1,B5=high,"B5=The related-paper result extends an already-covered B5 transport family and is retained as a strong seed or neighboring mechanism for packet correctness, freshness, ordering, reliability, or timing.",B5=It tests whether the B5 synthesis mechanism map is stable beyond the multi-formulation search results and supplies a transferable hypothesis for the Reflex episode loop.,B5=true,expansion_round_1,"Derya Malak, Muriel Médard, Edmund M. Yeh",,,arxiv:1806.05776,,,,,,B5,false,false,false,false,b5/evidence-digest.jsonl,b5/expansion/expansion-triage.jsonl
