pass2_index,paper_id,assigned_agent,first_pass_classification,source_lane
112,1045061837287933572,3,MEDIUM,B4 | B6
113,7668364956817672596,4,MEDIUM,B1
114,5286761019356720650,5,MEDIUM,B1
115,6787990283344967421,1,HIGH,B6
116,693107952507588788,2,HIGH,B1 | B2
117,4275919601340604786,3,HIGH,B5
118,7303135479379868553,4,MEDIUM,B1
119,444614430073992776,5,MEDIUM,B8
120,4522538243711952951,1,HIGH,B2 | B3 | B7 | B8
121,4229435774178432157,2,MEDIUM,B8
122,arxiv:1905.02870,3,HIGH,B5
123,7859310714127154709,4,MEDIUM,B7
124,2222282724548804236,5,HIGH,B1 | B2
125,arxiv:1905.13352,1,HIGH,B4
126,4089463326179560772,2,MEDIUM,B8
127,960066316139090677,3,MEDIUM,B8
128,3336159209999479726,4,MEDIUM,B7
129,4671423761067781082,5,MEDIUM,B8
130,3850116299467238151,1,MEDIUM,B8
131,4933729549708965008,2,HIGH,B2
132,8705531516229927827,3,HIGH,B5
133,arxiv:1909.05392,4,HIGH,B4
134,arxiv:1909.06709,5,HIGH,B5
135,arxiv:1909.09923,1,MEDIUM,B4
136,1393780306254661522,2,HIGH,B8
137,1285158271858717206,3,MEDIUM,B5
138,arxiv:1910.13290,4,HIGH,B5
139,5848378224799058445,5,MEDIUM,B1
140,3664842830538673541,1,HIGH,B6
141,4118711015418026087,2,HIGH,B3
142,5396548060118504054,3,MEDIUM,B8
143,6394844004344668149,4,HIGH,B5
144,4284034989647124060,5,MEDIUM,B1
145,6440317906118037073,1,HIGH,B1
146,3161793134048630208,2,HIGH,B6
147,4449360832765317079,3,MEDIUM,B8
148,922133130808096529,4,HIGH,B2 | B5
149,3644730271053295982,5,HIGH,B2 | B3
150,4398138460603434757,1,HIGH,B1
151,7436064003577756690,2,MEDIUM,B3
152,7283097417584407771,3,MEDIUM,B8
153,arxiv:2005.06921,4,HIGH,B5
154,7639736430676906607,5,MEDIUM,B7
155,8991978614976955351,1,MEDIUM,B6
156,2683198740489766889,2,MEDIUM,B6
157,4069800463177077041,3,MEDIUM,B8
158,7581085054973634995,4,MEDIUM,B7
159,8287527693040434676,5,MEDIUM,B6
160,3398775966329218087,1,HIGH,B1
161,arxiv:2008.03075,2,MEDIUM,B4
162,2115619635815627513,3,HIGH,B4 | B8
163,1167196036977799787,4,HIGH,B7
164,arxiv:2010.05969,5,MEDIUM,B4
165,5696522870327739321,1,MEDIUM,B8
166,3007150810386479546,2,MEDIUM,B5
167,arxiv:2010.12114,3,MEDIUM,B4
168,2280033495144410066,4,HIGH,B6
169,461141095892195113,5,HIGH,B2 | B3
170,8719322406008491570,1,MEDIUM,B6
171,4581270734817642484,2,HIGH,B6
172,238041654804639260,3,HIGH,B7
173,152178328592026428,4,HIGH,B1 | B2
174,7141553984679409608,5,HIGH,B6
175,arxiv:2012.05172,1,MEDIUM,B5
176,415527073889071452,2,HIGH,B2 | B3 | B4 | B7 | B8
177,arxiv:2101.06537,3,HIGH,B4
178,8561206894472801335,4,MEDIUM,B8
179,3298219759591122181,5,MEDIUM,B8
180,6884626590779707496,1,HIGH,B7
181,8798817884057466287,2,MEDIUM,B7
182,1358290719801915792,3,MEDIUM,B8
183,2720832408839193071,4,HIGH,B8
184,2189518703419947099,5,HIGH,B2
185,arxiv:2103.01314,1,HIGH,B4
186,6955632201904114789,2,HIGH,B2
187,7865034857012623966,3,HIGH,B2 | B3
188,8782421075791706804,4,HIGH,B5
189,7055128881158411160,5,HIGH,B8
190,5115719117658188802,1,HIGH,B2
191,arxiv:2104.07005,2,HIGH,B5
192,3128522236556480702,3,HIGH,B7
193,1831187552194481792,4,HIGH,B1
194,693375319564045758,5,HIGH,B1
195,4552202797036032393,1,MEDIUM,B5
196,5857930029800656865,2,MEDIUM,B6
197,8535061699263342057,3,HIGH,B3
198,8109041691506008034,4,HIGH,B7 | B8
199,arxiv:2105.07609,5,HIGH,B5
200,1538039956289789092,1,HIGH,B6
201,8583594840397179262,2,MEDIUM,B8
202,3390814624128138026,3,HIGH,B5
203,arxiv:2106.09206,4,HIGH,B4
204,2390575294533569870,5,HIGH,B1
205,2072797703209355573,1,HIGH,B1
206,5393584322578294683,2,HIGH,B2
207,arxiv:2108.03492,3,HIGH,B4
208,9050444341386784658,4,HIGH,B2
209,3631407852892381338,5,HIGH,B7
210,5588074556690327246,1,HIGH,B5
211,arxiv:2108.13801,2,MEDIUM,B4
212,8172766496941386577,3,HIGH,B2
213,5254347152473674180,4,HIGH,B8
214,9103705795505337691,5,HIGH,B1
215,7336347361110254619,1,MEDIUM,B1
216,4614439103212517866,2,HIGH,B5 | B7
217,2154163088485871028,3,HIGH,B3 | B7
218,8052172092931288696,4,MEDIUM,B7
219,arxiv:2110.15328,5,HIGH,B5
220,2130891838149570031,1,MEDIUM,B5
221,3125228658880223755,2,MEDIUM,B7
222,868918714334910253,3,HIGH,B6
223,241742114835861439,4,HIGH,B6
224,5060746372479831490,5,MEDIUM,B8
225,8581774066722522376,1,HIGH,B2
226,1309251318634281329,2,HIGH,B2 | B3 | B7 | B8
227,arxiv:2201.03175,3,MEDIUM,B4
228,4933248457993419130,4,HIGH,B1 | B2
229,3939838630861516009,5,MEDIUM,B6
230,7532607371331080784,1,MEDIUM,B8
231,arxiv:2202.03018,2,HIGH,B5
232,6800574349478778784,3,HIGH,B2 | B3 | B8
233,arxiv:2202.09189,4,MEDIUM,B4
234,639221673700761496,5,MEDIUM,B8
235,8766734788488551059,1,MEDIUM,B1
236,arxiv:2203.12983,2,HIGH,B4
237,5369529027105611784,3,HIGH,B3
238,2046346140503261134,4,HIGH,B2 | B3 | B7 | B8
239,5221466379523085419,5,HIGH,B2 | B3 | B7 | B8
240,arxiv:2205.00793,1,HIGH,B5
241,7882053642410807593,2,HIGH,B2 | B7 | B8
242,1097939111142689472,3,HIGH,B5
243,5558018996350719341,4,MEDIUM,B7
244,108363281057601208,5,MEDIUM,B8
245,4630308118525546063,1,HIGH,B3 | B7
246,18363373074364714,2,MEDIUM,B8
247,7005852229130754728,3,HIGH,B3
248,4985834491566190888,4,HIGH,B2 | B5
249,3235642890454301708,5,MEDIUM,B1
250,769621927471387745,1,HIGH,B3 | B7
251,6872174244495664444,2,MEDIUM,B2
252,5041264122573570510,3,MEDIUM,B5
253,5043095908945791586,4,HIGH,B6
254,5218629784363288913,5,HIGH,B8
255,8942840451648945503,1,MEDIUM,B8
256,1652219641171628767,2,MEDIUM,B8
257,492218436397604387,3,MEDIUM,B3
258,6282554262719065803,4,HIGH,B1 | B7
259,7592186960786338847,5,MEDIUM,B7
260,2821153147766873057,1,HIGH,B3
261,4504578132904970628,2,HIGH,B6
262,1947083336753205595,3,MEDIUM,B3
263,4151462417804694101,4,HIGH,B5
264,arxiv:2209.12052,5,HIGH,B4
265,2629951492358259244,1,HIGH,B7
266,216407762798327050,2,MEDIUM,B8
267,5139490866812098918,3,HIGH,B5
268,6555743431389180458,4,HIGH,B2
269,arxiv:2210.16639,5,HIGH,B5
270,7834334542936145449,1,HIGH,B6
271,1178676056800192423,2,HIGH,B5 | B8
272,7620808219149409718,3,HIGH,B6
273,3847082001983098144,4,MEDIUM,B5 | B8
274,2039957731036515809,5,HIGH,B7
275,4674625675213730277,1,HIGH,B2
276,5442350346131842528,2,MEDIUM,B8
277,8102028585888632896,3,MEDIUM,B8
278,8575008579183754695,4,MEDIUM,B6
279,7421339433506461989,5,HIGH,B3
280,6679057884085722073,1,HIGH,B3
281,3795676459997572828,2,HIGH,B2
282,8561854163316271941,3,MEDIUM,B2
283,7950640249493260280,4,MEDIUM,B1
284,8440664812676795355,5,MEDIUM,B8
285,8620029374065539936,1,HIGH,B6
286,2818443636347821764,2,HIGH,B6
287,4070517230443,3,HIGH,B6
288,2832457880473375515,4,MEDIUM,B8
289,2476255788743713401,5,HIGH,B3
290,1595399857021763847,1,MEDIUM,B6
291,78696464373754988,2,HIGH,B6
292,509034711155382676,3,HIGH,B4 | B6
293,1281561148514675649,4,HIGH,B2
294,5081263548403366088,5,MEDIUM,B8
295,4232004244257710076,1,HIGH,B6
296,2228889270581416989,2,HIGH,B2
297,5792322162514556537,3,HIGH,B6
298,8848142068881548333,4,HIGH,B6
299,7116943276524793977,5,MEDIUM,B5
300,arxiv:2309.06690,1,HIGH,B4
301,1300329850594514643,2,HIGH,B2 | B3 | B7 | B8
302,8332588441171868595,3,HIGH,B7 | B8
303,7083568474338593043,4,MEDIUM,B7
304,3879264186918683533,5,HIGH,B1
305,2899345415131210177,1,HIGH,B6
306,4498143215061069530,2,HIGH,B1 | B2
307,8838587758740285651,3,HIGH,B2 | B3
308,arxiv:2310.19699,4,HIGH,B4
309,3900940854133533047,5,HIGH,B7
310,7473429134326805726,1,HIGH,B1 | B2 | B3
311,6330658322131004747,2,HIGH,B1
312,1480341599344925445,3,MEDIUM,B7
313,5934440152243555294,4,HIGH,B2 | B7
314,4360564320548906726,5,HIGH,B6
315,2367740138935150078,1,HIGH,B2
316,4304402328173398777,2,MEDIUM,B8
317,247034073928789937,3,HIGH,B2 | B3 | B4 | B7 | B8
318,247037372463674570,4,HIGH,B5
319,6934593891665272705,5,HIGH,B7
320,arxiv:2312.04054,1,MEDIUM,B4
321,768972562798953715,2,HIGH,B2
322,arxiv:2312.10356,3,MEDIUM,B4
323,arxiv:2312.15123,4,HIGH,B4
324,arxiv:2312.16883,5,HIGH,B4
325,4693638947219143168,1,HIGH,B1
326,7421828701855381202,2,MEDIUM,B8
327,4186155202172654199,3,HIGH,B2 | B3 | B7
328,arxiv:2401.12815,4,MEDIUM,B4
329,6594633025527697482,5,HIGH,B6
330,8170759103537503657,1,HIGH,B3
331,1759875099585081112,2,HIGH,B3
332,7323364571112915051,3,MEDIUM,B6
333,2358317468375885502,4,HIGH,B6
334,7901949315795174851,5,MEDIUM,B3
335,1248006312658123160,1,MEDIUM,B7
336,120272059724086926,2,MEDIUM,B8
337,2829399507821631178,3,MEDIUM,B6
338,4359142198374054776,4,MEDIUM,B8
339,7492465346561188912,5,HIGH,B5
340,3789132544878509540,1,HIGH,B5
341,arxiv:2403.12949,2,MEDIUM,B4
342,8687987873447385173,3,HIGH,B6
343,8499290748226340479,4,MEDIUM,B2
344,5351697893271851735,5,MEDIUM,B5
345,2330665524886750646,1,HIGH,B2 | B7 | B8
346,7508677992343044391,2,HIGH,B2 | B4 | B7 | B8
347,5053930566941177736,3,MEDIUM,B1
348,arxiv:2404.18208,4,MEDIUM,B4
349,8346118851921687699,5,HIGH,B5
350,3530158861503705984,1,MEDIUM,B8
351,8944639508774191016,2,HIGH,B1 | B2
352,591397950646880097,3,HIGH,B2 | B3 | B8
353,2323014594144352108,4,MEDIUM,B1
354,3917882374413571222,5,HIGH,B2
355,3249319894284692453,1,HIGH,B3
356,6171973494753885986,2,MEDIUM,B2
357,7861821626367814759,3,MEDIUM,B1
358,6467458399946184133,4,MEDIUM,B5
359,4286378958430106798,5,HIGH,B2 | B3
360,8930589983887440089,1,HIGH,B1 | B2 | B3 | B8
361,8522334822225702618,2,MEDIUM,B1
362,8383129057629492266,3,MEDIUM,B8
363,8080217501498385215,4,HIGH,B3
364,151161965732930821,5,HIGH,B1
365,4626631034018147671,1,MEDIUM,B5
366,3128416659450792088,2,HIGH,B6
367,2485365029832433847,3,HIGH,B3 | B7
368,5852004840422352788,4,MEDIUM,B8
369,197310176458227233,5,HIGH,B2 | B7
370,9168527482257076082,1,HIGH,B7
371,6989957264631825389,2,MEDIUM,B3
372,974477220233621515,3,MEDIUM,B4 | B8
373,4905831661341578901,4,MEDIUM,B8
374,arxiv:2409.09592,5,HIGH,B4
375,4916571308599923350,1,HIGH,B1 | B7
376,5256629196851158009,2,HIGH,B1
377,1933595173721957862,3,HIGH,B3 | B7
378,arxiv:2410.06112,4,MEDIUM,B4
379,4115146167370720901,5,HIGH,B6
380,1650094973643699815,1,MEDIUM,B7
381,7522915417782178619,2,HIGH,B2 | B5
382,6025675210517228757,3,HIGH,B5 | B8
383,171086596173163810,4,HIGH,B8
384,1721968934960509253,5,MEDIUM,B6
385,7746513524466861802,1,HIGH,B2
386,arxiv:2411.01902,2,MEDIUM,B4
387,4387281134661619038,3,MEDIUM,B8
388,8757164680856772979,4,HIGH,B8
389,4080452395917296719,5,HIGH,B6
390,2292827946271184314,1,HIGH,B7 | B8
391,5617666267981900262,2,HIGH,B7
392,5203195530365023883,3,MEDIUM,B6
393,4666080801596472025,4,MEDIUM,B1
394,7851934255251890077,5,MEDIUM,B1
395,6078565364005170852,1,HIGH,B8
396,1798962426263530256,2,MEDIUM,B2
397,4286980218876081310,3,HIGH,B8
398,6234118449609484987,4,HIGH,B7
399,5322820591469122482,5,MEDIUM,B7
400,3043702339783458841,1,MEDIUM,B3
401,arxiv:2412.15385,2,MEDIUM,B4
402,4374045694681754426,3,HIGH,B7
403,arxiv:2412.18812,4,HIGH,B4
404,2780253239257711395,5,HIGH,B6
405,68673733352104227,1,HIGH,B3
406,4124099150550042680,2,MEDIUM,B6
407,7303169716972351648,3,HIGH,B4 | B6
408,4432455909415076699,4,HIGH,B1
409,8231783193256826677,5,HIGH,B6
410,3566981862432139270,1,HIGH,B2 | B3
411,2250707014620168150,2,HIGH,B6
412,1174663628263380259,3,HIGH,B5
413,887560099756378655,4,MEDIUM,B6
414,8798469295613433980,5,HIGH,B6
415,1675860932646347345,1,MEDIUM,B3
416,7826151630786451561,2,MEDIUM,B8
417,8857891919524725306,3,MEDIUM,B3
418,571917457937769436,4,MEDIUM,B1
419,1195988163317796965,5,HIGH,B7
420,8612869192572489764,1,HIGH,B6
421,1775286330399057539,2,HIGH,B6
422,6344596372006590867,3,MEDIUM,B8
423,arxiv:2503.19555,4,HIGH,B4 | B5
424,5026314192317467746,5,HIGH,B1
425,3376017646703317710,1,MEDIUM,B5
426,4506287436495728154,2,MEDIUM,B6
427,7454753117799628918,3,MEDIUM,B5
428,8567768919336299705,4,MEDIUM,B8
429,arxiv:2504.11750,5,MEDIUM,B4
430,5784670499337234612,1,HIGH,B6
431,3635401907159011857,2,HIGH,B3
432,arxiv:2505.06780,3,HIGH,B4
433,2104314270233489886,4,HIGH,B4 | B8
434,8829112103335342304,5,MEDIUM,B6
435,7690300414635051696,1,MEDIUM,B8
436,4389322242729732064,2,MEDIUM,B8
437,2056223403963298418,3,MEDIUM,B8
438,arxiv:2506.01135,4,MEDIUM,B4
439,4838707103523640739,5,HIGH,B2 | B6
440,5494443743789900643,1,MEDIUM,B4 | B7
441,arxiv:2506.03059,2,MEDIUM,B4
442,2086215060043610282,3,HIGH,B7
443,2761769335822054080,4,HIGH,B5
444,2781372565359640974,5,MEDIUM,B2 | B8
445,1192695698442646480,1,HIGH,B8
446,8911923912397180672,2,HIGH,B8
447,2129969028896478575,3,HIGH,B2
448,941610227651593359,4,HIGH,B7
449,4517902818077719198,5,MEDIUM,B6
450,3210196464382693376,1,MEDIUM,B6
451,3750246870568837419,2,MEDIUM,B6
452,1866153357125297436,3,MEDIUM,B5
453,2185766229983237362,4,HIGH,B2
454,4781022690208898679,5,HIGH,B5
455,5306694801464929360,1,HIGH,B7
456,7236199133282851549,2,HIGH,B6
457,4034478371517734286,3,HIGH,B5
458,3857845561562084394,4,MEDIUM,B7
459,3153682648627867682,5,MEDIUM,B7 | B8
460,8867802692201461234,1,MEDIUM,B8
461,5407396635272610218,2,HIGH,B6
462,6822928053718226751,3,HIGH,B5
463,4381339023769131000,4,HIGH,B5
464,arxiv:2508.00947,5,MEDIUM,B4
465,7286767648091826972,1,HIGH,B2 | B8
466,6142538027617753991,2,HIGH,B2
467,arxiv:2508.06133,3,MEDIUM,B4
468,6542197425248761429,4,MEDIUM,B6
469,2940692961669941289,5,HIGH,B3 | B5 | B7 | B8
470,450688324563241323,1,HIGH,B2 | B3 | B7 | B8
471,452645455261078453,2,HIGH,B5 | B7 | B8
472,5247552991241509146,3,HIGH,B8
473,5239793737682737919,4,MEDIUM,B1
474,9108340839769234762,5,MEDIUM,B3
475,7432406943595915359,1,HIGH,B6
476,7685027295897575111,2,HIGH,B6
477,2222259298937831723,3,HIGH,B3
478,1574134577672162772,4,MEDIUM,B8
479,6486661270545562304,5,MEDIUM,B7
480,5796700311782428688,1,MEDIUM,B6
481,2025813033639590241,2,HIGH,B5
482,1798807342958589966,3,MEDIUM,B3
483,arxiv:2509.13714,4,HIGH,B5
484,8699387436491884742,5,HIGH,B2 | B3
485,arxiv:2509.19486,1,MEDIUM,B4
486,6442535243205942802,2,HIGH,B2
487,4633238585881888356,3,MEDIUM,B3
488,7920375970050081785,4,HIGH,B5 | B7 | B8
489,9138500777070379303,5,HIGH,B1
490,3299371768691771971,1,HIGH,B2 | B6
491,4946408900311566193,2,HIGH,B3
492,arxiv:2510.18544,3,MEDIUM,B4
493,6962210528323261289,4,HIGH,B5
494,226832094825215893,5,HIGH,B2 | B3
495,182396430684305034,1,MEDIUM,B8
496,3805898546158762340,2,HIGH,B7
497,arxiv:2510.24113,3,MEDIUM,B4
498,arxiv:2511.00983,4,MEDIUM,B4
499,778549688291351131,5,MEDIUM,B1
500,7643556002664870553,1,HIGH,B3
501,2835830549633325587,2,HIGH,B1
502,8105309266257635510,3,HIGH,B7
503,5589487035438989993,4,HIGH,B6
504,167136847721579404,5,HIGH,B5
505,8438926716725811608,1,MEDIUM,B8
506,1492836747137965521,2,HIGH,B6
507,5451060507501470584,3,HIGH,B2 | B8
508,5044124516141222318,4,HIGH,B4 | B6
509,741036226695360847,5,HIGH,B7
510,745826798858530049,1,MEDIUM,B8
511,2923951758678773027,2,HIGH,B6
512,2167850864120920301,3,HIGH,B2
513,4830637205373174951,4,HIGH,B7 | B8
514,8018296057121737015,5,MEDIUM,B8
515,4640478975552611682,1,HIGH,B2 | B7 | B8
516,2117097563466561475,2,MEDIUM,B5
517,1466154793898355406,3,HIGH,B6
518,597090830503133492,4,HIGH,B8
519,1729839557487685981,5,MEDIUM,B6
520,8083047399534387825,1,MEDIUM,B5
521,418353410848081542,2,MEDIUM,B5
522,5868006927117943253,3,HIGH,B8
523,3592518174263179693,4,HIGH,B7
524,arxiv:2601.21758,5,HIGH,B4
525,4527108478467824083,1,HIGH,B1
526,205176131578594105,2,MEDIUM,B8
527,arxiv:2602.08296,3,MEDIUM,B4
528,4120649929626054173,4,HIGH,B6
529,1782175669376494903,5,HIGH,B8
530,4957292609861434555,1,MEDIUM,B6
531,6823003239093950044,2,HIGH,B7
532,5519133081468995501,3,HIGH,B5
533,arxiv:2602.13718,4,MEDIUM,B4
534,5091945656701445251,5,MEDIUM,B6
535,2139775655631860928,1,HIGH,B7
536,3833313431527957968,2,MEDIUM,B1
537,531072298999178666,3,MEDIUM,B6
538,arxiv:2603.02271,4,MEDIUM,B4
539,4751678703388351030,5,MEDIUM,B6
540,8279130694770794154,1,HIGH,B5
541,8274343421142509585,2,HIGH,B5 | B8
542,arxiv:2603.07309,3,MEDIUM,B4
543,4573602806349677991,4,HIGH,B2 | B3 | B8
544,4572602250768195206,5,MEDIUM,B5
545,4601031261350824627,1,HIGH,B5
546,8172720403520565204,2,HIGH,B3 | B7 | B8
547,5677962604628405295,3,MEDIUM,B8
548,arxiv:2603.19418,4,HIGH,B4
549,379900031815044385,5,HIGH,B5 | B8
550,6475716740606225073,1,MEDIUM,B7
551,8470527739731780548,2,HIGH,B8
552,8651464511882425804,3,HIGH,B6
553,5055346589362718594,4,MEDIUM,B8
554,6389491837593690377,5,HIGH,B2
555,8901474612632347847,1,MEDIUM,B6
556,7722991661552159058,2,HIGH,B5
557,2811257509632522362,3,HIGH,B1
558,9105525100349782805,4,HIGH,B3
559,2680650857130468271,5,HIGH,B3
560,1994509383886062229,1,HIGH,B8
561,151270461933104253,2,MEDIUM,B8
562,1393208390158834869,3,HIGH,B6
563,3995115690925861995,4,MEDIUM,B6
564,7114917262988826943,5,MEDIUM,B7
565,356744853930880706,1,MEDIUM,B8
566,5012841378358439696,2,MEDIUM,B8
567,2575451725150813508,3,HIGH,B1
568,7681488105640991156,4,HIGH,B2 | B3
569,777874252596041836,5,MEDIUM,B6
570,3448472613018289371,1,HIGH,B2
571,arxiv:2604.17111,2,MEDIUM,B4
572,3360826179826483892,3,MEDIUM,B3
573,363781364255773176,4,HIGH,B6
574,7091415937357842299,5,MEDIUM,B6
575,7595282496078262048,1,HIGH,B1 | B3
576,299919386653059439,2,HIGH,B5
577,2769760053031621516,3,MEDIUM,B6
578,902319779427745989,4,HIGH,B8
579,arxiv:2604.26422,5,MEDIUM,B4
580,5838555704271719854,1,HIGH,B6
581,7813597147927704807,2,HIGH,B3
582,arxiv:2605.00616,3,HIGH,B4
583,arxiv:2605.05527,4,HIGH,B4
584,arxiv:2605.08835,5,HIGH,B4
585,8493473766441459476,1,MEDIUM,B6
586,3320715683900516910,2,HIGH,B8
587,3323541428784451505,3,HIGH,B8
588,arxiv:2605.13749,4,MEDIUM,B4
589,3495506402720422711,5,MEDIUM,B8
590,6470528680448553143,1,MEDIUM,B3
591,8545485128196482030,2,MEDIUM,B6 | B8
592,3352411087723790442,3,HIGH,B5
593,6761145958718903742,4,HIGH,B8
594,arxiv:2605.24044,5,HIGH,B4 | B6
595,4725514452963240801,1,HIGH,B8
596,8551745468953466898,2,MEDIUM,B7
597,6910876136037705726,3,HIGH,B7
598,arxiv:2606.00552,4,MEDIUM,B4
599,arxiv:2606.02982,5,HIGH,B4
600,6533537354173585470,1,MEDIUM,B8
601,8033862573189807183,2,MEDIUM,B3
602,6902957727205386091,3,HIGH,B6
603,576362709461875616,4,MEDIUM,B6
604,8507411659808898103,5,HIGH,B3
605,4154440699841849599,1,HIGH,B2 | B7 | B8
606,1574560909733691517,2,MEDIUM,B8
607,8458659287241322753,3,HIGH,B3
608,8905845576224506217,4,HIGH,B3
609,1015644620298296471,5,HIGH,B5
610,809444332749169443,1,HIGH,B3
611,arxiv:2606.13899,2,MEDIUM,B4
612,6229544255917851645,3,MEDIUM,B3 | B8
613,1951086164379907490,4,HIGH,B3
614,5035409720091109396,5,HIGH,B8
615,5029640582579021629,1,MEDIUM,B8
616,924788453206217337,2,HIGH,B3 | B6
617,5155986235230944249,3,MEDIUM,B7
618,8906816116959573404,4,HIGH,B5
619,3184073458339981590,5,MEDIUM,B1
620,9110691625195224939,1,MEDIUM,B8
621,1887756788466424943,2,MEDIUM,B8
622,arxiv:2607.02043,3,HIGH,B4
623,6931121951500119672,4,MEDIUM,B6
624,7582065820579953952,5,MEDIUM,B8
625,269128158884843164,1,HIGH,B7 | B8
626,5715951532224257436,2,MEDIUM,B8
627,3139187794791879128,3,HIGH,B6
628,6260114167250314704,4,MEDIUM,B5
629,6247590729807451339,5,MEDIUM,B8
630,5659676290151043754,1,MEDIUM,B3
