pass2_index,paper_id,terminal_outcome,mechanism_count
"1271","arxiv:2507.06547","DROP","0"
"1284","arxiv:2507.14582","DROP","0"
"1297","arxiv:2508.03693","DROP","0"
"1310","arxiv:2508.13901","DROP","0"
"1323","arxiv:2509.00310","DROP","0"
"1336","arxiv:2509.15950","DROP","0"
"1349","arxiv:2509.22093","DROP","0"
"1362","arxiv:2510.00726","DROP","0"
"1375","arxiv:2510.09877","DROP","0"
"1388","arxiv:2510.18109","DROP","0"
"1401","arxiv:2510.24680","DROP","0"
"1414","arxiv:2511.03400","DROP","0"
"1427","arxiv:2511.16166","DROP","0"
"1440","arxiv:2512.01715","DROP","0"
"1453","arxiv:2512.10946","DROP","0"
"1466","arxiv:2512.20188","DROP","0"
"1479","arxiv:2601.02427","DROP","0"
"1492","arxiv:2601.06436","DROP","0"
"1505","arxiv:2601.11269","DROP","0"
"1518","arxiv:2601.14945","DROP","0"
"1531","arxiv:2601.19514","DROP","0"
"1544","arxiv:2601.22108","DROP","0"
"1557","arxiv:2602.01312","DROP","0"
"1570","arxiv:2602.05051","DROP","0"
"1583","arxiv:2602.09722","DROP","0"
"1596","arxiv:2602.12532","DROP","0"
"1609","arxiv:2602.15351","DROP","0"
"1622","arxiv:2602.19764","DROP","0"
"1635","arxiv:2602.24138","DROP","0"
"1648","arxiv:2603.04356","DROP","0"
"1661","arxiv:2603.08342","DROP","0"
"1674","arxiv:2603.12480","DROP","0"
"1687","arxiv:2603.15620","DROP","0"
"1700","arxiv:2603.24806","DROP","0"
"1713","arxiv:2604.10677","DROP","0"
"1726","arxiv:2604.26637","DROP","0"
"1739","arxiv:2605.15492","DROP","0"
"1752","arxiv:2605.30280","DROP","0"
"1765","arxiv:2606.10918","DROP","0"
"1778","arxiv:2606.18531","DROP","0"
"1791","arxiv:2606.27813","DROP","0"
"1804","arxiv:2607.06442","DROP","0"
"1817","arxiv:2607.16858","DROP","0"
"1830","arxiv:2608.00569","DROP","0"
"1843","arxiv:2608.15680","DROP","0"
"1856","doi:10.1016/j.artmed.2008.11.007","DROP","0"
"1869","doi:10.1109/lra.2026.3703998","DROP","0"
"1882","doi:10.1109/tsmcb.2012.2185694","DROP","0"
"1895","doi:10.3390/s22051968","DROP","0"
