"pass2_index","paper_id","paper_title","terminal_outcome","mechanisms_emitted","classification","notes"
"635","arxiv:2211.01471","Dual Generator Offline Reinforcement Learning","RESERVE","1","RESERVE","Abstract evidence recorded; full-text method inspection remains unresolved."
"648","arxiv:2212.04590","Learning Options via Compression","RESERVE","1","RESERVE","Abstract evidence recorded; full-text method inspection remains unresolved."
"661","arxiv:2301.09816","SMART: Self-supervised Multi-task pretrAining with contRol Transformers","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"674","arxiv:2302.02179","Developing Driving Strategies Efficiently: A Skill-Based Hierarchical Reinforcement Learning Approach","RESERVE","1","RESERVE","Abstract evidence recorded; full-text method inspection remains unresolved."
"687","arxiv:2303.00638","MEGA-DAgger: Imitation Learning with Multiple Imperfect Experts","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"700","arxiv:2303.13505","A Large-scale Study of Spatiotemporal Representation Learning with a New Benchmark on Action Recognition","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"713","arxiv:2304.09825","Using Offline Data to Speed Up Reinforcement Learning in Procedurally Generated Environments","RESERVE","1","RESERVE","Abstract evidence recorded; full-text method inspection remains unresolved."
"726","arxiv:2305.06289","Learning Video-Conditioned Policies for Unseen Manipulation Tasks","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"739","arxiv:2306.06394","PEAR: Primitive Enabled Adaptive Relabeling for Boosting Hierarchical Reinforcement Learning","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"752","arxiv:2307.03719","Polybot: Training One Policy Across Robots While Embracing Variability","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"765","arxiv:2308.06443","Neural Latent Aligner: Cross-trial Alignment for Learning Representations of Complex, Naturalistic Neural Data","RESERVE","1","RESERVE","Abstract evidence recorded; full-text method inspection remains unresolved."
"778","arxiv:2309.14611","Event Stream-based Visual Object Tracking: A High-Resolution Benchmark Dataset and A Novel Baseline","RESERVE","1","RESERVE","Abstract evidence recorded; full-text method inspection remains unresolved."
"791","arxiv:2310.12972","CCIL: Continuity-based Data Augmentation for Corrective Imitation Learning","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"804","arxiv:2311.01851","Holistic Representation Learning for Multitask Trajectory Anomaly Detection","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"817","arxiv:2312.02355","When is Offline Policy Selection Sample Efficient for Reinforcement Learning?","RESERVE","1","RESERVE","Abstract evidence recorded; full-text method inspection remains unresolved."
"830","arxiv:2401.09870","Reconciling Spatial and Temporal Abstractions for Goal Representation","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"843","arxiv:2402.04061","TopoNav: Topological Navigation for Efficient Exploration in Sparse Reward Environments","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"856","arxiv:2402.12715","The Clever Hans Mirage: A Comprehensive Survey on Spurious Correlations in Machine Learning","RESERVE","1","RESERVE","Abstract evidence recorded; full-text method inspection remains unresolved."
"869","arxiv:2403.05110","Efficient Data Collection for Robotic Manipulation via Compositional Generalization","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"882","arxiv:2404.01361","LLM Attributor: Interactive Visual Attribution for LLM Generation","RESERVE","1","RESERVE","Abstract evidence recorded; full-text method inspection remains unresolved."
"895","arxiv:2404.15379","Clustering of timed sequences -- Application to the analysis of care pathways","RESERVE","1","RESERVE","Abstract evidence recorded; full-text method inspection remains unresolved."
"908","arxiv:2405.11724","Token-wise Influential Training Data Retrieval for Large Language Models","RESERVE","1","RESERVE","Abstract evidence recorded; full-text method inspection remains unresolved."
"921","arxiv:2405.19878","Learning from Random Demonstrations: Offline Reinforcement Learning with Importance-Sampled Diffusion Models","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"934","arxiv:2406.11231","Enabling robots to follow abstract instructions and complete complex dynamic tasks","RESERVE","1","RESERVE","Abstract evidence recorded; full-text method inspection remains unresolved."
"947","arxiv:2407.07868","Green Screen Augmentation Enables Scene Generalisation in Robotic Manipulation","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"960","arxiv:2407.20678","The Susceptibility of Example-Based Explainability Methods to Class Outliers","RESERVE","1","RESERVE","Abstract evidence recorded; full-text method inspection remains unresolved."
"973","arxiv:2408.13627","Recent Event Camera Innovations: A Survey","RESERVE","1","RESERVE","Abstract evidence recorded; full-text method inspection remains unresolved."
"986","arxiv:2409.09016","Closed-Loop Visuomotor Control with Generative Expectation for Robotic Manipulation","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"999","arxiv:2410.01630","One-Shot Robust Imitation Learning for Long-Horizon Visuomotor Tasks from Unsegmented Demonstrations","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"1012","arxiv:2410.14040","WARPD: World model Assisted Reactive Policy Diffusion","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"1025","arxiv:2410.24164","π₀: A Vision-Language-Action Flow Model for General Robot Control","RESERVE","1","RESERVE","Abstract evidence recorded; full-text method inspection remains unresolved."
"1038","arxiv:2411.12523","Data Pruning in Generative Diffusion Models","RESERVE","1","RESERVE","Abstract evidence recorded; full-text method inspection remains unresolved."
"1051","arxiv:2412.05313","λ: A Benchmark for Data-Efficiency in Long-Horizon Indoor Mobile Manipulation Robotics","RESERVE","1","RESERVE","Abstract evidence recorded; full-text method inspection remains unresolved."
"1064","arxiv:2501.00315","Temporal Dynamics Decoupling with Inverse Processing for Enhancing Human Motion Prediction","RESERVE","1","RESERVE","Abstract evidence recorded; full-text method inspection remains unresolved."
"1077","arxiv:2501.17878","Collaborative Channel Access and Transmission for NR Sidelink and Wi-Fi Coexistence over Unlicensed Spectrum","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"1090","arxiv:2502.05450","ConRFT: A Reinforced Fine-tuning Method for VLA Models via Consistency Policy","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"1103","arxiv:2502.18447","Supervised Reward Inference","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"1116","arxiv:2503.03707","Curating Demonstrations using Online Experience","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"1129","arxiv:2503.13171","HybridGen: VLM-Guided Hybrid Planning for Scalable Data Generation of Imitation Learning","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"1142","arxiv:2503.19916","EventFly: Event Camera Perception from Ground to the Sky","RESERVE","1","RESERVE","Abstract evidence recorded; full-text method inspection remains unresolved."
"1155","arxiv:2504.08604","Neural Fidelity Calibration for Informative Sim-to-Real Adaptation","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"1168","arxiv:2505.00490","Optimal Interactive Learning on the Job via Facility Location Planning","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"1181","arxiv:2505.07728","Guiding Data Collection via Factored Scaling Curves","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"1194","arxiv:2505.12224","RoboFAC: A Comprehensive Framework for Robotic Failure Analysis and Correction","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"1207","arxiv:2505.18793","Genie Centurion: Accelerating Scalable Real-World Robot Training with Human Rewind-and-Refine Guidance","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"1220","arxiv:2506.01701","Data Pruning by Information Maximization","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"1233","arxiv:2506.08822","FreqPolicy: Efficient Flow-based Visuomotor Policy via Frequency Consistency","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"1246","arxiv:2506.13722","How Real is CARLAs Dynamic Vision Sensor? A Study on the Sim-to-Real Gap in Traffic Object Detection","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"1259","arxiv:2506.20668","DemoDiffusion: One-Shot Human Imitation using pre-trained Diffusion Policy","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"1272","arxiv:2507.06710","Spatial-Temporal Aware Visuomotor Diffusion Policy Learning","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"1285","arxiv:2507.14731","X-Nav: Learning End-to-End Cross-Embodiment Navigation for Mobile Robots","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"1298","arxiv:2508.05342","Information-Theoretic Graph Fusion with Vision-Language-Action Model for Policy Reasoning and Dual Robotic Control","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"1311","arxiv:2508.13922","Categorical Policies: Multimodal Policy Learning and Exploration in Continuous Control","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"1324","arxiv:2509.01657","Data Retrieval with Importance Weights for Few-Shot Imitation Learning","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"1337","arxiv:2509.15981","Uncertainty-Based Smooth Policy Regularisation for Reinforcement Learning with Few Demonstrations","RESERVE","1","RESERVE","Abstract evidence recorded; full-text method inspection remains unresolved."
"1350","arxiv:2509.22407","EMMA: Generalizing Real-World Robot Manipulation via Generative Visual Transfer","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"1363","arxiv:2510.01479","Density-Ratio Weighted Behavioral Cloning: Learning Control Policies from Corrupted Datasets","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"1376","arxiv:2510.10217","UF-RNN: Real-Time Adaptive Motion Generation Using Uncertainty-Driven Foresight Prediction","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"1389","arxiv:2510.18137","Quality Over Quantity: Curating Contact-Based Robot Datasets Improves Learning","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"1402","arxiv:2510.24795","A Survey on Efficient Vision-Language-Action Models","RESERVE","1","RESERVE","Abstract evidence recorded; full-text method inspection remains unresolved."
"1415","arxiv:2511.04671","X-Diffusion: Training Diffusion Policies on Cross-Embodiment Human Demonstrations","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"1428","arxiv:2511.17373","Agility Meets Stability: Versatile Humanoid Control with Heterogeneous Data","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"1441","arxiv:2512.01801","GR-RL: Going Dexterous and Precise for Long-Horizon Robotic Manipulation","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"1454","arxiv:2512.11769","BLURR: A Boosted Low-Resource Inference for Vision-Language-Action Models","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"1467","arxiv:2512.21235","RoboCade: Gamifying Robot Data Collection","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"1480","arxiv:2601.02456","InternVLA-A1: Unifying Understanding, Generation and Action for Robotic Manipulation","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"1493","arxiv:2601.06647","eSkiTB: A Synthetic Event-based Dataset for Tracking Skiers","RESERVE","1","RESERVE","Abstract evidence recorded; full-text method inspection remains unresolved."
"1506","arxiv:2601.11625","Reasoning Stabilization Point: A Training-Time Signal for Stable Evidence and Shortcut Reliance","RESERVE","1","RESERVE","Abstract evidence recorded; full-text method inspection remains unresolved."
"1519","arxiv:2601.14971","Fine-Grained Traceability for Transparent ML Pipelines","RESERVE","1","RESERVE","Abstract evidence recorded; full-text method inspection remains unresolved."
"1532","arxiv:2601.19634","AC²-VLA: Action-Context-Aware Adaptive Computation in Vision-Language-Action Models for Efficient Robotic Manipulation","RESERVE","1","RESERVE","Abstract evidence recorded; full-text method inspection remains unresolved."
"1545","arxiv:2601.22595","Learn More with Less: Uncertainty Consistency Guided Query Selection for RLVR","RESERVE","1","RESERVE","Abstract evidence recorded; full-text method inspection remains unresolved."
"1558","arxiv:2602.02055","FORLER: Federated Offline Reinforcement Learning with Q-Ensemble and Actor Rectification","RESERVE","1","RESERVE","Abstract evidence recorded; full-text method inspection remains unresolved."
"1571","arxiv:2602.05319","Accelerated Sequential Flow Matching: A Bayesian Filtering Perspective","RESERVE","1","RESERVE","Abstract evidence recorded; full-text method inspection remains unresolved."
"1584","arxiv:2602.10015","RoboSubtaskNet: Temporal Sub-task Segmentation for Human-to-Robot Skill Transfer in Real-World Environments","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"1597","arxiv:2602.12628","Beyond Imitation: Reinforcement Learning-Based Sim-Real Co-Training for VLA Models","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"1610","arxiv:2602.15567","Constraining Streaming Flow Models for Adapting Learned Robot Trajectory Distributions","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"1623","arxiv:2602.19943","Scaling Law of Neural Koopman Operators","RESERVE","1","RESERVE","Abstract evidence recorded; full-text method inspection remains unresolved."
"1636","arxiv:2602.24143","Robust Skills, Brittle Grounding: Diagnosing Restricted Generalization in Vision-Language Action Policies via Multi-Object Picking","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"1649","arxiv:2603.04585","ELLIPSE: Evidential Learning for Robust Waypoints and Uncertainties","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"1662","arxiv:2603.08349","Towards plausibility in time series counterfactual explanations","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"1675","arxiv:2603.13033","ESPIRE: A Diagnostic Benchmark for Embodied Spatial Reasoning of Vision-Language Models","RESERVE","1","RESERVE","Abstract evidence recorded; full-text method inspection remains unresolved."
"1688","arxiv:2603.16542","Conservative Offline Robot Policy Learning via Posterior-Transition Reweighting","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"1701","arxiv:2603.25903","Emergent Neural Automaton Policies: Learning Symbolic Structure from Visuomotor Trajectories","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"1714","arxiv:2604.12303","Labeled TrustSet Guided: Batch Active Learning with Reinforcement Learning","RESERVE","1","RESERVE","Abstract evidence recorded; full-text method inspection remains unresolved."
"1727","arxiv:2604.26848","STARRY: Spatial-Temporal Action-Centric World Modeling for Robotic Manipulation","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"1740","arxiv:2605.15536","SkiP: When to Skip and When to Refine for Efficient Robot Manipulation","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"1753","arxiv:2605.30903","Inverse Reinforcement Learning without an Optimal Demonstrator: A Feasible Reward Set Approach","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"1766","arxiv:2606.12105","DAM-VLA: Decoupled Asynchronous Multimodal Vision Language Action model","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"1779","arxiv:2606.20871","Geometric Entropy: When Trajectory Diversity Helps and Hurts in Imitation Learning","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"1792","arxiv:2606.28320","WARP-RM: A Warp-Augmented Relative Progress Reward Model for Data Curation","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"1805","arxiv:2607.06978","SPECTRA: Context-Conditioned Spectral Movement Primitives for Robot Skill Generalization","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"1818","arxiv:2607.17257","Asynchronous Multimodal Diffusion Policy Composition via Latency-Aware Guidance Fusion","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"1831","arxiv:2608.01265","Hermite Curves as Trajectory Priors for Vision-Language-Action Models","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"1844","arxiv:2608.15875","GigaBrain-0.7: Scaling Embodied Foundation Models to Emergent Capabilities with a Three-System Architecture","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"1857","doi:10.1016/j.gaitpost.2018.04.029","STAPP: Spatiotemporal analysis of plantar pressure measurements using statistical parametric mapping.","RESERVE","1","RESERVE","Abstract evidence recorded; full-text method inspection remains unresolved."
"1870","doi:10.1109/lra.2026.3710367","CoLA-Flow Policy: Temporally Coherent Imitation Learning via Continuous Latent Action Flow Matching for Robotic Manipulation","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"1883","doi:10.1126/scirobotics.adv7594","Learning a Thousand Tasks in a Day","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
"1896","doi:10.3390/s25247574","Targetless Radar-Camera Calibration via Trajectory Alignment.","KEEP","1","KEEP","Abstract evidence recorded; full-text method inspection remains unresolved."
