"pass2_index","canonical_paper_id","assigned_agent","first_pass_classification","source_lane","paper_name","id","abstract","triage_label","lanes","lane_count","triage_labels_by_lane","mechanisms_by_lane","why_it_matters_by_lane","follow_up_by_lane","corpus_stages","authors","year","source_ids","primary_id","paper_id","categories","queries","discovery_methods","designations","primary_readers","metadata_verified_any","body_inspected_any","evidence_read_any","triage_disagreement","source_registry_paths","source_triage_paths"
"132","arxiv:1702.07475","3","HIGH","A1","Sequence-based Multimodal Apprenticeship Learning For Robot Perception and Decision Making","arxiv:1702.07475","Apprenticeship learning has recently attracted a wide attention due to its capability of allowing robots to learn physical tasks directly from demonstrations provided by human experts. Most previous techniques assumed that the state space is known a priori or employed simple state representations that usually suffer from perceptual aliasing. Different from previous research, we propose a novel approach named Sequence-based Multimodal Apprenticeship Learning (SMAL), which is capable to simultaneously fusing temporal information and multimodal data, and to integrate robot perception with decision making. To evaluate the SMAL approach, experiments are performed using both simulations and real-world robots in the challenging search and rescue scenarios. The empirical study has validated that our SMAL approach can effectively learn plans for robots to make decisions using sequence of multimodal observations. Experimental results have also showed that SMAL outperforms the baseline methods using individual images.","high","A1","1","A1=high","A1=SMAL fuses temporal sequences from multiple observation modalities so perception and decision making share history rather than isolated frames.","A1=It directly supports learning action-observation relationships from multimodal robot demonstrations.","A1=true","primary_assignment","","","arxiv:1702.07475","arxiv:1702.07475","3902560895416866046","","q01-direct","search-papers","","A1","false","false","false","false","A1/assigned-papers.json | A1/inspection-manifest.json | A1/paper-registry-complete.json | A1/paper-registry.json | A1/raw/q01-direct.json","A1/assigned-abstracts.jsonl | A1/triage.jsonl"
"145","arxiv:1703.04122","3","MEDIUM","A1","Autoregressive Convolutional Neural Networks for Asynchronous Time Series","arxiv:1703.04122","We propose Significance-Offset Convolutional Neural Network, a deep convolutional network architecture for regression of multivariate asynchronous time series. The model is inspired by standard autoregressive (AR) models and gating mechanisms used in recurrent neural networks. It involves an AR-like weighting system, where the final predictor is obtained as a weighted sum of adjusted regressors, while the weights are datadependent functions learnt through a convolutional network. The architecture was designed for applications on asynchronous time series and is evaluated on such datasets: a hedge fund proprietary dataset of over 2 million quotes for a credit derivative index, an artificially generated noisy autoregressive series and UCI household electricity consumption dataset. The proposed architecture achieves promising results as compared to convolutional and recurrent neural networks.","medium","A1","1","A1=medium","A1=The paper develops or evaluates a temporal correspondence, synchronization, delay, or sequence-representation mechanism for Autoregressive Convolutional Neural Networks for Asynchronous Time Series.","A1=Its adjacent-domain method may provide a transferable alignment idea, but the robot transfer path requires verification.","A1=true","expansion_round_3","","","arxiv:1703.04122","arxiv:1703.04122","8781139748991136017","","","related-papers-round3","","A1","false","false","false","false","A1/expansion-round3-registry.json | A1/paper-registry-complete.json","A1/expansion-round3-triage.jsonl"
"158","arxiv:1704.03617","3","HIGH","A2","Representation Stability as a Regularizer for Improved Text Analytics Transfer Learning","arxiv:1704.03617","Although neural networks are well suited for sequential transfer learning tasks, the catastrophic forgetting problem hinders proper integration of prior knowledge. In this work, we propose a solution to this problem by using a multi-task objective based on the idea of distillation and a mechanism that directly penalizes forgetting at the shared representation layer during the knowledge integration phase of training. We demonstrate our approach on a Twitter domain sentiment analysis task with sequential knowledge transfer from four related tasks. We show that our technique outperforms networks fine-tuned to the target task. Additionally, we show both through empirical evidence and examples that it does not forget useful knowledge from the source task that is forgotten during standard fine-tuning. Surprisingly, we find that first distilling a human made rule based sentiment engine into a recurrent neural network and then integrating the knowledge with the target task data leads to a substantial gain in generalization performance. Our experiments demonstrate the power of multi-source transfer techniques in practical text analytics problems when paired with distillation. In particular, for the SemEval 2016 Task 4 Subtask A (Nakov et al., 2016) dataset we surpass the state of the art established during the competition with a comparatively simple model architecture that is not even competitive when trained on only the labeled task specific data.","high","A2","1","A2=high","A2=Finds event, phase, or subtask boundaries by modeling temporal changes in observations, dynamics, language, or latent sequence variables.","A2=The mechanism can turn long robot experience into reusable training units, skill memories, or better-conditioned policy targets.","A2=true","expansion_round_1","","2017","arxiv:1704.03617","","","","","","","A2","false","false","false","false","A2/expansion-pool.json | A2/expansion-pool.jsonl","A2/expansion-triage.jsonl"
"171","arxiv:1706.04652","3","MEDIUM","A5","Learning a visuomotor controller for real world robotic grasping using simulated depth images","arxiv:1706.04652","We want to build robots that are useful in unstructured real world applications, such as doing work in the household. Grasping in particular is an important skill in this domain, yet it remains a challenge. One of the key hurdles is handling unexpected changes or motion in the objects being grasped and kinematic noise or other errors in the robot. This paper proposes an approach to learning a closed-loop controller for robotic grasping that dynamically guides the gripper to the object. We use a wrist-mounted sensor to acquire depth images in front of the gripper and train a convolutional neural network to learn a distance function to true grasps for grasp configurations over an image. The training sensor data is generated in simulation, a major advantage over previous work that uses real robot experience, which is costly to obtain. Despite being trained in simulation, our approach works well on real noisy sensor images. We compare our controller in simulated and real robot experiments to a strong baseline for grasp pose detection, and find that our approach significantly outperforms the baseline in the presence of kinematic noise, perceptual errors and disturbances of the object during grasping.","medium","A5","1","A5=medium","A5=The training sensor data is generated in simulation, a major advantage over previous work that uses real robot experience, which is costly to obtain.","A5=This weighting neighbor tests whether the expansion adds a reusable mechanism for controlling robot experience in policy training.","A5=true","expansion_round_2","","","arxiv:1706.04652","arxiv:1706.04652","5397721844140422956","","","","","A5","false","false","false","false","A5/expansion/raw/round2-references.json","A5/expansion/round2-triage.jsonl"
"184","arxiv:1707.08817","3","HIGH","A5 | A6","Leveraging Demonstrations for Deep Reinforcement Learning on Robotics Problems with Sparse Rewards","arxiv:1707.08817","We propose a general and model-free approach for Reinforcement Learning (RL) on real robotics with sparse rewards. We build upon the Deep Deterministic Policy Gradient (DDPG) algorithm to use demonstrations. Both demonstrations and actual interactions are used to fill a replay buffer and the sampling ratio between demonstrations and transitions is automatically tuned via a prioritized replay mechanism. Typically, carefully engineered shaping rewards are required to enable the agents to efficiently explore on high dimensional control problems such as robotics. They are also required for model-based acceleration methods relying on local solvers such as iLQG (e.g. Guided Policy Search and Normalized Advantage Function). The demonstrations replace the need for carefully engineered rewards, and reduce the exploration problem encountered by classical RL approaches in these domains. Demonstrations are collected by a robot kinesthetically force-controlled by a human demonstrator. Results on four simulated insertion tasks show that DDPG from demonstrations out-performs DDPG, and does not require engineered rewards. Finally, we demonstrate the method on a real robotics task consisting of inserting a clip (flexible object) into a rigid object.","high","A5 | A6","2","A5=high | A6=medium","A5=Both demonstrations and actual interactions are used to fill a replay buffer and the sampling ratio between demonstrations and transitions is automatically tuned via a prioritized replay mechanism. | A6=Infers quality, reward, value, or preferences from mixed-outcome demonstrations to reweight or improve actions.","A5=It informs which stored transitions or demonstrations should be replayed more often when sparse reward, rarity, or learning progress matters. | A6=Turns success, failure, and relative-quality signals into supervision for experience selection or policy improvement.","A5=true | A6=true","primary_assignment","Mel Vecerik, Todd Hester, Jonathan Scholz, Fumin Wang, Olivier Pietquin, Bilal Piot, Nicolas Heess, Thomas Rothörl, Thomas Lampe, Martin Riedmiller","2017","arxiv:1707.08817 | paper:845218178271155190","arxiv:1707.08817","paper:845218178271155190","cs.AI","12 | 13 | 24 | 3 | 4 | 50 | 57 | 58 | 63 | 7 | 8 | q25-found-failures","search-papers","foundational | general | recent","A5 | A6","true","true","false","true","A5/assigned-papers.json | A5/canonical-pool.jsonl | A5/evidence-ledger.jsonl | A5/expansion/raw/round1-references.json | A5/expansion/raw/round2-references.json | A5/expansion/raw/round3-references.json | A5/inspection-manifest.json | A5/paper-registry.json | A5/raw/q04-direct-replay.json | A5/read-manifest.json | A6/raw-retrieval/q25-found-failures.json | A6/registry-assignment.jsonl | A6/work/assigned-registry-inspected.jsonl | A6/work/assigned-registry-preinspect.jsonl | A6/work/canonical-pool.jsonl | A6/work/evidence-index.jsonl | A7/raw/q14-space-coverage.json | A7/work/paper-registry.json | A7/work/paper-registry.jsonl | A7/work/verified-paper-registry.json | A7/work/verified-paper-registry.jsonl","A5/assigned-abstracts.jsonl | A6/triage.jsonl"
"197","arxiv:1710.05268","3","MEDIUM","A6","Self-Supervised Visual Planning with Temporal Skip Connections","arxiv:1710.05268","In order to autonomously learn wide repertoires of complex skills, robots must be able to learn from their own autonomously collected data, without human supervision. One learning signal that is always available for autonomously collected data is prediction: if a robot can learn to predict the future, it can use this predictive model to take actions to produce desired outcomes, such as moving an object to a particular location. However, in complex open-world scenarios, designing a representation for prediction is difficult. In this work, we instead aim to enable self-supervised robotic learning through direct video prediction: instead of attempting to design a good representation, we directly predict what the robot will see next, and then use this model to achieve desired goals. A key challenge in video prediction for robotic manipulation is handling complex spatial arrangements such as occlusions. To that end, we introduce a video prediction model that can keep track of objects through occlusion by incorporating temporal skip-connections. Together with a novel planning criterion and action space formulation, we demonstrate that this model substantially outperforms prior work on video prediction-based control. Our results show manipulation of objects not seen during training, handling multiple objects, and pushing objects around obstructions. These results represent a significant advance in the range and complexity of skills that can be performed entirely with self-supervised robotic learning.","medium","A6","1","A6=medium","A6=Transforms, segments, augments, retrieves, or composes trajectories so useful subsequences and corrective context become training signal.","A6=Offers a reusable mechanism for converting sequential experience into better policy or data decisions.","A6=false","expansion_round_1","","2017","arxiv:1710.05268","arxiv:1710.05268","7605125956347318379","","self-supervised representation learning temporal segmentation robot trajectories","related-papers","true","A6","false","false","false","false","A2/canonical-pool.json | A2/canonical-pool.jsonl | A2/raw/q10-self-supervised.json | A6/expansion/canonical-pool.jsonl","A6/expansion/triage.jsonl"
"210","arxiv:1712.09716","3","HIGH","A8","Multi-Modal Active Perception for Information Gathering in Science Missions","arxiv:1712.09716","Robotic science missions in remote environments, such as deep ocean and outer space, can involve studying phenomena that cannot directly be observed using on-board sensors but must be deduced by combining measurements of correlated variables with domain knowledge. Traditionally, in such missions, robots passively gather data along prescribed paths, while inference, path planning, and other high level decision making is largely performed by a supervisory science team. However, communication constraints hinder these processes, and hence the rate of scientific progress. This paper presents an active perception approach that aims to reduce robots' reliance on human supervision and improve science productivity by encoding scientists' domain knowledge and decision making process on-board. We use Bayesian networks to compactly model critical aspects of scientific knowledge while remaining robust to observation and modeling uncertainty. We then formulate path planning and sensor scheduling as an information gain maximization problem, and propose a sampling-based solution based on Monte Carlo tree search to plan informative sensing actions which exploit the knowledge encoded in the network. The computational complexity of our framework does not grow with the number of observations taken and allows long horizon planning in an anytime manner, making it highly applicable to field robotics. Simulation results show statistically significant performance improvements over baseline methods, and we validate the practicality of our approach through both hardware experiments and simulated experiments with field data gathered during the NASA Mojave Volatiles Prospector science expedition.","high","A8","1","A8=high","A8=Bayesian networks encode domain knowledge and uncertainty while Monte Carlo tree search selects sensing paths and schedules that maximize information gain.","A8=It is a field-robotics example of planning multimodal collection decisions over long horizons under communication and modeling constraints.","A8=true","primary_assignment","","","arxiv:1712.09716","arxiv:1712.09716","9065259934782331103","","A8 | q03-direct | q20-adjacent","search-papers","","A8","false","false","false","false","A8/raw/q03-direct.json | A8/raw/q20-adjacent.json | A8/work/assigned-papers.json | A8/work/canonical-pool.jsonl","A8/work/abstract-triage.jsonl | A8/work/assigned-abstracts.jsonl"
"223","arxiv:1803.02603","3","MEDIUM","A1","Gaussian Process Latent Variable Alignment Learning","arxiv:1803.02603","We present a model that can automatically learn alignments between high-dimensional data in an unsupervised manner. Our proposed method casts alignment learning in a framework where both alignment and data are modelled simultaneously. Further, we automatically infer groupings of different types of sequences within the same dataset. We derive a probabilistic model built on non-parametric priors that allows for flexible warps while at the same time providing means to specify interpretable constraints. We demonstrate the efficacy of our approach with superior quantitative performance to the state-of-the-art approaches and provide examples to illustrate the versatility of our model in automatic inference of sequence groupings, absent from previous approaches, as well as easy specification of high level priors for different modalities of data.","medium","A1","1","A1=medium","A1=The paper develops or evaluates a temporal correspondence, synchronization, delay, or sequence-representation mechanism for Gaussian Process Latent Variable Alignment Learning.","A1=Its adjacent-domain method may provide a transferable alignment idea, but the robot transfer path requires verification.","A1=true","expansion_round_1","","","arxiv:1803.02603","arxiv:1803.02603","2537923099842841942","","","related-citers | related-similar","","A1","false","false","false","false","A1/expansion-registry.json | A1/paper-registry-complete.json","A1/expansion-triage.jsonl"
"236","arxiv:1806.03107","3","MEDIUM","A2","Temporal Difference Variational Auto-Encoder","arxiv:1806.03107","To act and plan in complex environments, we posit that agents should have a mental simulator of the world with three characteristics: (a) it should build an abstract state representing the condition of the world; (b) it should form a belief which represents uncertainty on the world; (c) it should go beyond simple step-by-step simulation, and exhibit temporal abstraction. Motivated by the absence of a model satisfying all these requirements, we propose TD-VAE, a generative sequence model that learns representations containing explicit beliefs about states several steps into the future, and that can be rolled out directly without single-step transitions. TD-VAE is trained on pairs of temporally separated time points, using an analogue of temporal difference learning used in reinforcement learning.","medium","A2","1","A2=medium","A2=Uses temporally extended actions, keyposes, or learned macro-actions to expose multi-step structure while retaining feedback or planning control.","A2=The adjacent sequence mechanism offers a transferable way to localize or compress useful intervals when robot labels are scarce.","A2=true","expansion_round_1","","2018","arxiv:1806.03107","arxiv:1806.03107","238552655190381177","","sequence-to-sequence temporal abstraction plan recognition robotics","search-papers","true","A2","false","false","false","false","A2/canonical-pool.json | A2/canonical-pool.jsonl | A2/expansion-pool.json | A2/expansion-pool.jsonl | A2/raw/q37-seq2seq.json","A2/expansion-triage.jsonl"
"249","arxiv:1809.05819","3","HIGH","A4","Deep Learning with Experience Ranking Convolutional Neural Network for Robot Manipulator","arxiv:1809.05819","Supervised learning, more specifically Convolutional Neural Networks (CNN), has surpassed human ability in some visual recognition tasks such as detection of traffic signs, faces and handwritten numbers. On the other hand, even state-of-the-art reinforcement learning (RL) methods have difficulties in environments with sparse and binary rewards. They requires manually shaping reward functions, which might be challenging to come up with. These tasks, however, are trivial to human. One of the reasons that human are better learners in these tasks is that we are embedded with much prior knowledge of the world. These knowledge might be either embedded in our genes or learned from imitation - a type of supervised learning. For that reason, the best way to narrow the gap between machine and human learning ability should be to mimic how we learn so well in various tasks by a combination of RL and supervised learning. Our method, which integrates Deep Deterministic Policy Gradients and Hindsight Experience Replay (RL method specifically dealing with sparse rewards) with an experience ranking CNN, provides a significant speedup over the learning curve on simulated robotics tasks. Experience ranking allows high-reward transitions to be replayed more frequently, and therefore help learn more efficiently. Our proposed approach can also speed up learning in any other tasks that provide additional information for experience ranking.","high","A4","1","A4=high","A4=Ranks or weights trajectories/transitions according to return, coverage, value, or policy-improvement utility in offline learning.","A4=It offers a direct or transferable way to connect robot experience choices to learned policy behavior.","A4=true","primary_assignment","","","arxiv:1809.05819 | paper:4584661102056338486","arxiv:1809.05819","4584661102056338486","","q31-trajectory-rank","semantic-search","","A4","false","false","false","false","A4/assigned-papers.json | A4/assigned-registry-inspected.jsonl | A4/assigned-registry-preinspect.jsonl | A4/canonical-registry.jsonl | A4/raw/q31-trajectory-rank.json","A4/abstract-triage.jsonl"
"262","arxiv:1810.12894","3","HIGH","A8","Exploration by Random Network Distillation","arxiv:1810.12894","We introduce an exploration bonus for deep reinforcement learning methods that is easy to implement and adds minimal overhead to the computation performed. The bonus is the error of a neural network predicting features of the observations given by a fixed randomly initialized neural network. We also introduce a method to flexibly combine intrinsic and extrinsic rewards. We find that the random network distillation (RND) bonus combined with this increased flexibility enables significant progress on several hard exploration Atari games. In particular we establish state of the art performance on Montezuma's Revenge, a game famously difficult for deep reinforcement learning methods. To the best of our knowledge, this is the first method that achieves better than average human performance on this game without using demonstrations or having access to the underlying state of the game, and occasionally completes the first level.","high","A8","1","A8=high","A8=Prediction error of a fixed random target network gives intrinsic reward for novel observations and decays as they become familiar.","A8=It is a practical novelty signal for directing collection toward underrepresented observations.","A8=true","expansion_round_2","","","arxiv:1810.12894 | paperid:5092370357304930339","","","","","","","A8","false","false","false","false","A8/work/expansion-round2-novel.jsonl","A8/work/expansion-round2-triage.jsonl | A8/work/expansion-round3-triage.jsonl"
